"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.514052642E1,3.511486575E-4,-1.416555140E-3,5.235732533E-4
8.539021642E1,1.061695628E-3,-1.808269881E-4,-6.487034261E-4
8.563990654E1,3.313003574E-3,-1.580547541E-4,2.939030528E-4
8.588959654E1,-1.138621941E-3,-2.524002921E-3,-1.042488730E-3
8.613928654E1,-8.693588898E-4,3.112205304E-4,7.410142571E-4
8.638897754E1,7.001850754E-4,1.600743271E-4,2.545737661E-4
8.663866813E1,-2.007359173E-3,1.612161286E-3,1.316780690E-4
8.688835812E1,-3.081718460E-4,-5.975430831E-4,6.617452018E-4
8.713804912E1,-2.050644252E-3,1.558682416E-3,-4.525778349E-4
8.738773912E1,-1.539678313E-3,1.607607119E-3,3.566453233E-4
8.763743017E1,-5.741589703E-4,5.877623335E-4,8.264323696E-4
8.788712017E1,7.585352287E-4,-1.071695704E-3,-2.573749516E-4
8.813681017E1,2.120625693E-3,-1.361024100E-3,1.239463687E-3
8.838650117E1,2.303615678E-3,-8.659861051E-4,-1.686132397E-3
8.863619029E1,1.812078990E-4,-2.753392793E-3,-2.842259128E-4
8.888588129E1,8.755866438E-4,-6.849607453E-4,1.505624736E-3
8.913557129E1,3.875084221E-4,-9.231478907E-4,8.862656541E-4
8.938526229E1,1.309262589E-3,5.472595803E-4,-1.507094014E-3
8.963495275E1,8.012549952E-4,-1.499641687E-3,1.137848711E-3
8.988464275E1,-9.192246944E-4,-1.206842251E-3,-2.234094543E-3
9.013433375E1,4.202947021E-4,1.328097191E-3,1.147829928E-3
9.038402375E1,-2.786419354E-4,-2.227565274E-4,8.652624674E-4
9.063371525E1,1.334020635E-3,1.513654366E-3,3.674272448E-4
9.088340525E1,-1.570515335E-3,5.587083288E-4,-1.947123092E-3
9.113309625E1,1.552351750E-3,-4.918319173E-4,-1.511076232E-3
9.138278625E1,9.986078367E-4,4.752404056E-4,-4.857301246E-4
9.163247717E1,-1.084915362E-3,-1.600007527E-3,1.519575482E-3
9.188216717E1,-1.640907489E-3,1.822616905E-4,-4.248940386E-4
9.213185817E1,3.600986674E-4,3.415355459E-4,-8.323246147E-4
9.238154817E1,1.110098325E-3,-1.496607438E-4,5.103568546E-4
9.263123954E1,-1.053641085E-3,9.981631301E-4,-1.362229115E-3
9.288092954E1,1.311646076E-3,-8.576218970E-4,-5.257555749E-4
9.313062054E1,1.087871846E-3,-3.413590603E-4,1.599576790E-3
9.338031054E1,-1.814085990E-4,3.983280621E-4,1.492831623E-3
9.363000125E1,6.865267642E-4,-4.800353199E-4,-1.140763983E-3
9.387969125E1,7.411167026E-4,-1.254768576E-3,-2.513869666E-3
9.412938225E1,-1.008926891E-3,-9.624357335E-4,1.968566794E-4
